experiment,ramp_spread,fe_spread,be_spread,fe_mean,be_mean,rp_obj,eev_obj,vss,pct_vss,rp_exp_unmet,eev_exp_unmet,unmet_gap,rp_fill_rate,eev_fill_rate,fill_rate_gap,rp_exp_inv,eev_exp_inv,inv_gap,rp_xf_fe1,rp_xf_fe2,ev_xf_fe1,ev_xf_fe2,fe2_gap,total_starts_gap,rp_outsource_fe,ev_outsource_fe,rp_outsource_be,ev_outsource_be,profit_gap,rp_total_starts,ev_total_starts,status_rp,status_eev
A_FE_only,0.350000,0.300000,0.200000,0.850000,0.800000,6377.845238,6252.746150,125.099088,1.961463,30.000000,30.772059,0.772059,96.000000,95.897059,0.102941,0.000000,0.000000,0.000000,10.000000,5.000000,10.000000,0.588235,4.411765,4.411765,Yes,Yes,Yes,Yes,125.099088,15.000000,10.588235,Optimal,Optimal
A_FE_only,0.360000,0.305000,0.200000,0.847500,0.800000,6377.683367,6248.170409,129.512959,2.030721,30.000000,31.045354,1.045354,96.000000,95.860619,0.139381,0.000000,0.000000,0.000000,10.000000,5.107914,10.000000,0.619469,4.488445,4.488445,Yes,Yes,Yes,Yes,129.512959,15.107914,10.619469,Optimal,Optimal
A_FE_only,0.370000,0.310000,0.200000,0.845000,0.800000,6377.519151,6243.567590,133.951561,2.100371,30.000000,31.320266,1.320266,96.000000,95.823965,0.176035,0.000000,0.000000,0.000000,10.000000,5.217391,10.000000,0.650888,4.566504,4.566504,Yes,Yes,Yes,Yes,133.951561,15.217391,10.650888,Optimal,Optimal
A_FE_only,0.380000,0.315000,0.200000,0.842500,0.800000,6377.352537,6238.937458,138.415079,2.170416,30.000000,31.596810,1.596810,96.000000,95.787092,0.212908,0.000000,0.000000,0.000000,10.000000,5.328467,10.000000,0.682493,4.645975,4.645975,Yes,Yes,Yes,Yes,138.415079,15.328467,10.682493,Optimal,Optimal
A_FE_only,0.390000,0.320000,0.200000,0.840000,0.800000,6377.183473,6234.279761,142.903712,2.240859,30.000000,31.875000,1.875000,96.000000,95.750000,0.250000,0.000000,0.000000,0.000000,10.000000,5.441177,10.000000,0.714286,4.726891,4.726891,Yes,Yes,Yes,Yes,142.903712,15.441177,10.714286,Optimal,Optimal
A_FE_only,0.400000,0.325000,0.200000,0.837500,0.800000,6377.011905,6229.594255,147.417650,2.311704,30.000000,32.154851,2.154851,96.000000,95.712687,0.287313,0.000000,0.000000,0.000000,10.000000,5.555556,10.000000,0.746269,4.809287,4.809287,Yes,Yes,Yes,Yes,147.417650,15.555556,10.746269,Optimal,Optimal
A_FE_only,0.410000,0.330000,0.200000,0.835000,0.800000,6376.837775,6224.880701,151.957075,2.382953,30.000000,32.436377,2.436377,96.000000,95.675150,0.324850,0.000000,0.000000,0.000000,10.000000,5.671642,10.000000,0.778443,4.893199,4.893199,Yes,Yes,Yes,Yes,151.957075,15.671642,10.778443,Optimal,Optimal
A_FE_only,0.420000,0.335000,0.200000,0.832500,0.800000,6376.661027,6220.138831,156.522196,2.454611,30.000000,32.719595,2.719595,96.000000,95.637387,0.362613,0.000000,0.000000,0.000000,10.000000,5.789474,10.000000,0.810811,4.978663,4.978663,Yes,Yes,Yes,Yes,156.522196,15.789474,10.810811,Optimal,Optimal
A_FE_only,0.430000,0.340000,0.200000,0.830000,0.800000,6376.481602,6215.368410,161.113191,2.526679,30.000000,33.004517,3.004517,96.000000,95.599398,0.400602,0.000000,0.000000,0.000000,10.000000,5.909091,10.000000,0.843373,5.065717,5.065717,Yes,Yes,Yes,Yes,161.113191,15.909091,10.843373,Optimal,Optimal
A_FE_only,0.440000,0.345000,0.200000,0.827500,0.800000,6376.299436,6210.569136,165.730300,2.599161,30.000000,33.291164,3.291164,96.000000,95.561178,0.438822,0.000000,0.000000,0.000000,10.000000,6.030534,10.000000,0.876133,5.154401,5.154401,Yes,Yes,Yes,Yes,165.730300,16.030534,10.876133,Optimal,Optimal
