scenario,fe_spread,v_d,rp_obj,eev_obj,vss,pct_vss,rp_unmet,eev_unmet,unmet_gap,rp_inv,eev_inv,rp_fe1,rp_fe2,ev_fe1,ev_fe2,rp_total,ev_total
S2: Baseline ($3),0.22,3,6376.2994364,6210.5691359924995,165.73030040750018,2.5991611915432564,30.0,33.291163749999996,3.2911637499999955,0.0,0.0,10.0,6.0305344,10.0,0.87613293,16.0305344,10.87613293
S2: Baseline ($3),0.23,3,6375.9266333,6200.88309944625,175.04353385374998,2.7453818702921993,30.0,33.86968125,3.8696812499999993,0.0,0.0,10.0,6.2790698,10.0,0.94224924,16.279069800000002,10.94224924
S2: Baseline ($3),0.24000000000000002,3,6375.54208835,6191.07858414375,184.46350420625004,2.893299136763906,30.0,34.455275,4.455275,0.0,0.0,10.0,6.5354331,10.0,1.0091743,16.5354331,11.0091743
S2: Baseline ($3),0.25,3,6375.145238,6181.153397787501,193.99184021249948,3.0429399326650994,30.0,35.04807625,5.048076250000001,0.0,0.0,10.0,6.8,10.0,1.0769231,16.8,11.0769231
S2: Baseline ($3),0.26,3,6374.73548195,6171.1052787375,203.6302032124995,3.1943318085758445,30.0,35.648219999999995,5.648219999999995,0.0,0.0,10.0,7.0731707,10.0,1.1455108,17.0731707,11.1455108
S2: Baseline ($3),0.27,3,6374.31218015,6155.3488275624995,218.9633525875006,3.435089879491091,30.0,36.79906535,6.799065349999999,0.0,0.0,10.0,7.3553719,10.0,1.2149533,17.3553719,11.2149533
S2: Baseline ($3),0.28,3,6373.8746498,6136.917987437501,236.95666236249872,3.7176235081738542,30.0,38.205328625,8.205328625,0.0,0.0,10.0,7.6470588,10.0,1.2852665,17.6470588,11.2852665
S2: Baseline ($3),0.29000000000000004,3,6373.42216115,6118.225659550001,255.19650159999856,4.004073402756545,30.0,39.62933725,9.629337249999999,0.0,0.0,10.0,7.9487179,10.0,1.3564669,17.9487179,11.356466900000001
S2: Baseline ($3),0.3,3,6370.251488,6099.235115087498,271.01637291250154,4.2544061788303065,30.0,41.07142875,11.071428750000003,0.0,0.0,10.0,8.0,10.0,1.4285714,18.0,11.4285714
S2: Baseline ($3),0.31,3,6366.538988,6079.970940539377,286.56804746062335,4.501159075610193,30.0,42.531949,12.531948999999997,0.0,0.0,10.0,8.0,10.0,1.5015974,18.0,11.5015974
S2: Baseline ($3),0.32,3,6362.826488,6059.057264804374,303.7692231956253,4.774123948979595,30.0,44.011254125,14.011254125,0.0,0.0,10.0,8.0,10.0,1.5755627,18.0,11.5755627
S2: Baseline ($3),0.33,3,6358.5494050068755,6037.87286035,320.6765446568752,5.0432343012758025,30.0,45.509708875,15.509708875000001,0.0,0.0,10.0,8.0,10.0,1.6504854,18.0,11.6504854
S2: Baseline ($3),0.34,3,6351.12440506875,6016.41245093125,334.71195413750047,5.27012120673264,30.0,47.027686375,17.027686375000002,0.0,0.0,10.0,8.0,10.0,1.7263844,18.0,11.7263844
S2: Baseline ($3),0.35000000000000003,3,6343.69940506875,5994.670569487501,349.02883558124904,5.5019762648647506,30.0,48.565573875,18.565573875,0.0,0.0,10.0,8.0,10.0,1.8032787,18.0,11.8032787
S2: Baseline ($3),0.36000000000000004,3,6336.274405068751,5972.641672168749,363.63273290000143,5.7389044358481485,30.0,50.12376275,20.123762749999997,0.0,0.0,10.0,8.0,10.0,1.8811881,18.0,11.8811881
S2: Baseline ($3),0.37,3,6328.8494050687505,5950.320049106251,378.5293559624997,5.981013794692871,30.0,51.7026575,21.7026575,0.0,0.0,10.0,8.0,10.0,1.9601329,18.0,11.9601329
S2: Baseline ($3),0.38,3,6321.42440506875,5927.69980316875,393.7246019000004,6.2284158865254735,30.0,53.302674875,23.302674875,0.0,0.0,10.0,8.0,10.0,2.0401338,18.0,12.0401338
S2: Baseline ($3),0.39,3,6313.9994056875,5904.77488616875,409.22451951875064,6.481225182728571,30.0,54.92424275,24.924242749999998,0.0,0.0,10.0,8.0,10.0,2.1212121,18.0,12.121212100000001
S2: Baseline ($3),0.4,3,6306.5744056875,5881.5391380374995,425.0352676500006,6.739558440263358,30.0,56.567797,26.567797,0.0,0.0,10.0,8.0,10.0,2.2033898,18.0,12.2033898
S2: Baseline ($3),0.41000000000000003,3,6299.149405687501,5857.9861795937495,441.1632260937513,7.003536472645419,30.0,58.23378875,28.233788750000002,0.0,0.0,10.0,8.0,10.0,2.2866894,18.0,12.2866894
S2: Baseline ($3),0.42000000000000004,3,6291.7244056875,5834.10947869375,457.6149269937496,7.273283085636771,30.0,59.92268,29.92268,0.0,0.0,10.0,8.0,10.0,2.371134,18.0,12.371134
